Word,Count
exception,2
cancel,2
reuse,1
numitems,1
ondraw,1
functions,1
upload,1
your,1
ios,3
branch,4
accesscoarselocation,1
without,1
setting,2
these,16
properly,1
compareversions,1
approved,1
would,1
xml,4
understanding,4
because,4
moving,1
assigning,1
upgrade,4
cdi,1
getbundlefordeviceonboardflow,1
triggers,1
analysis,1
version,8
click,2
0,1
1,4
lint,1
contains,3
2,4
folder,3
3,2
charger,1
4,3
size,3
util,2
left,1
800,3
unused,8
happening,2
returns,3
getdevicetofilterconsent,1
much,3
object,1
appropriate,1
utility,2
immediately,1
code1320050579,1
example,2
result,1
rca,1
same,17
810,1
viewgroup,1
after,11
getstringresourceinenglish,1
momenttimestamp,1
resolved,26
annotation,1
a,43
b,1
alignments,1
i,9
loops,1
ringid/modelid,1
the,156
p,1
destroyed,1
s,1
u,1
scout,1
register,1
discuss,6
standard,2
ddinterneterrordialog,1
correct,3
resolve,1
moved,4
2111,2
got,1
good,2
empty,1
analytics,8
reproduce,1
rngesturehandlerbuttonviewmanager,1
wise,1
helper,1
reactnativegesturehandle,1
implement,1
others,2
defaultbleconnectionstatuslistener,1
brushheadlistener,1
add,30
area,1
tracing,1
testers,1
handledrsdialogonappupgrade,1
need,25
deregister,1
its,9
check,75
list,3
consent,9
users,1
tests,2
alignment,10
useful,1
resetfirmwarepreference,1
child,1
trust,1
private,5
onboardingmyprivacyfragmentjava,1
searching,1
medium,1
interface,3
locale,1
remove,87
skipped,1
calendargetinstance,1
duplicated,2
doesn’t,2
intentionally,2
flows,1
provider,1
buildversioncodeslollipop,1
scope,1
corektx,1
hard,3
lines,11
recycler,1
fails,3
live,1
tuscanylogprintstacktrace,1
headers,2
ticket,1
multiple,3
perform,1
expose,1
better,4
with,35
china,2
there,17
well,3
handling,3
happens,1
taking,2
enableconsent,1
called,5
disabling,1
release,2
filehelperreadfilefilepath,1
continueclick,1
channel,1
retest,1
getargumentsgetstringcaretype,1
braces,1
test/resources,1
number,1
defect,2
block,3
finelocation,1
per,2
write,4
flow,3
order,3
similar,4
testing,12
postcurrentblestatus,1
solutionjsonstring,1
understand,3
handle,8
confirmation,1
productrecommendations,3
script,1
comparetoignorecase,2
getdevice,1
viewonclicklistener,1
ever,1
640,1
connector,1
integration,6
callisto,1
onbackpressed,1
hundred,1
other,14
pathselectorfragment,1
ischecked,1
functionality,4
standardcharsetsutf8,9
login,2
optimise,3
local,3
valid,2
sessionmanagerthis,2
asked,1
native,1
have,16
configdownloadtimeout,1
accordingly,3
product,5
reminder,1
discussed,5
basefragmentgetactivetabfragment,1
2nd,2
removed,20
rawsensorpacketlistener,1
future,3
disable,1
stored,1
logic,19
arrow,1
screen,4
lets,6
body,1
reactivex,1
mode,2
tics,1
optimize,5
etc,2
whether,4
cpd,1
function,11
raise,1
implemented,1
modified,2
verification,1
all,36
always,2
new,6
read,1
comparison,1
already,6
below,9
arrayutilstoprimitivecompletedsubsegmentslisttoarraynew,2
applicable,2
topfragment,1
revert,29
suppresswarningsdeprecation,1
testtuscanyapplicationactivityjava,1
isosloassociated,1
conflicting,1
condition,18
unit,2
islivabrushingsupported,1
naming,2
try,1
nfr,1
grater,1
cause,2
respective,1
similarly,2
and,71
intended,1
design,6
define,2
working,3
commented,13
possibility,2
declared,1
comments,2192
buttons,1
productconfiguration,1
specific,1
any,11
refactor,1
intuitive,1
30days,1
arrayxml,1
221,1
suggested,2
application,1
stable,1
buildversionsdkint,2
until,2
renamed,1
plz,4
teaser,1
reason,1
pmd,1
prev,2
supportscanfilter,1
valuesit/stringsxml,1
java,3
tagged,1
merge,4
english,1
let,1
api,37
state,2
defined,2
currentstate,1
app,7
merging,4
using,8
scanerror,1
refreshcb,1
buildtype,1
expected,2
want,2
readablility,1
dulce,1
completed,1
demand,2
creating,2
difference,1
complexity,1
another,2
document,1
automatically,1
guarantee,1
recommend,1
tabordinal,1
giving,1
two,3
matching,2
anyway,1
default,2
getsessionforcloudupload,1
found,2
oslo,5
are,27
scenario,5
does,4
https//tfsemea1taphilipscom/tfs/tpcregion28/pohc/git/tuscanyandroidproduction/pullrequest/4631aoverview,1
came,1
where,10
disabled,1
attach,2
mechanism,1
gives,1
latest,5
validate,1
think,6
refresh,1
holder,1
team,2
suppress,8
call,13
gradle,1
such,4
ask,1
thing,1
getbrushingmodeonroutinenumber,1
supported,3
arraylisttoarrayutiltestjava,1
through,1
dimen,1
lib,3
cant,1
run,1
align,3
lifecycle,1
view,2
either,2
white,3
continue,2
has,8
helpful,1
buildversioncodeso,1
results,1
those,1
brush,5
given,10
ramas,1
might,4
utiljava,1
duplicate,5
fetchfirst,1
insurancename,1
margin/padding,1
checks,2
converted,1
name,22
fixed,4
page,2
updated,4
full,3
viewlisteners,1
memory,2
string,9
import,5
const,1
android,1
classes,2
show,2
updates,1
redundant,1
button,3
not,65
specialevents,1
handleinforeaderjava,1
now,7
ends,1
statement,2
hence,1
postponed,2
enclose,1
convention,2
uivisiblestate,1
junit,5
green,1
breaks,1
yes,4
introduce,1
was,20
libraries,1
clarification,1
way,1
generic,2
target,1
what,10
mouth,1
crashlytics,1
refer,2
subpress,1
time,8
promptthis,1
optimised,2
deprecated,2
issues,1
when,8
required,41
put,8
logout,2
sonicareconsentmanagerjava,1
logged,2
splashinsurancepresenterjava,1
options,1
addatacoredialogfragmentjava,1
1format,1
catch,1
plan,2
case,16
give,3
item,2
inapp,1
provide,1
tuscanyconstants,9
reset,1
style,2
care,2
currentlocationpermissionresult,1
initialisation,2
explicitly,1
log,12
formatted,1
methods,4
drawables,4
tabs,1
enabled,1
bleconnectionactivitythis,1
web,1
means,1
popbackstack,1
explore,1
brusing,1
more,3
deeplink,1
performed,2
wrong,5
onsingleitemclicklistener,1
fetch,2
organized,1
progressreportprocessortestkt,1
heads,1
gethsdpuuid,2
before,12
replace,6
allignment,1
testactivityjava,1
used,16
tuscanyutilscheckprivacynotice,1
fonts/centralesansbookttf,1
notification,1
hit,1
looks,6
shows,1
shown,1
zone,2
few,5
refreshloginsessionhandlerforcedlogut,1
consider,1
inverted,1
day,1
group,1
otherwise,2
imports,2
package,2
visible,1
presenter,1
created,1
timing,3
format,6
done,20
both,3
getbrushheadtitleid,1
important,1
outside,1
effect,2
keep,12
dpchannel,1
dont,4
stringformat,1
request,2
devicespecific,1
values,2
part,3
ringid,1
why,36
point,2
along,1
mentioned,5
rinse,1
authentication,1
devicejava,1
move,36
amount,1
process,1
debug,1
original,1
assignment,1
titleactivitytest,1
clear,3
saw,1
also,9
clean,1
posting,1
gets,1
isexpertclean,1
developno,1
duplication,12
onstart,1
marking,1
build,6
tongiueclean,1
further,1
user,10
parent,1
been,4
informationname,2
clickable,1
upgradefiledownloadtasklistener,1
sonicareconsentmanager,1
stacj,1
path,1
fix,15
dev,1
openurlinexternalbrowser,1
dental,1
featureproviders,1
you,25
knowledge,1
addition,1
happen,2
sure,2
pass,4
preprocessing,2
impact,4
preference,1
personal,2
am,1
easy,2
